ID,survey_day,meal,taste_c,health_gen_c,nutr_val_c,envir_friend_c,nutr_1,nutr_1_r,nutr_2,nutr_3,nutr_4,nutr_4_r,nutr_5,nutr_5_r,healthiness_1,healthiness_2,healthiness_3,healthiness_4,healthiness_4_r,healthiness_5,healthiness_5_r,envir_concern_1,envir_concern_2,envir_concern_3,envir_concern_3_r,envir_concern_4,envir_concern_4_r,envir_concern_5,envir_behav_1,envir_behav_2,envir_behav_3,envir_behav_4,envir_behav_5,healthy_attit_1_r,healthy_attit_2_r,healthy_attit_3,healthy_attit_4,healthy_attit_5,envir_attit_1,envir_attit_2,age,weight,height,BMI,choice_diet,choice_other,choice_veg,CO_eq,fish,meat,vegi,envir_att,meat_val,envir_con,healh_spec,healh_att,nutr_val_spec
1,1,1,5.79166666666667,4.5,5.29166666666667,3.91666666666667,4.91666666666667,3.08333333333333,4.95833333333333,4.5,2.31818181818182,5.68181818181818,5.47826086956522,2.52173913043478,4.17391304347826,4.5,3.41666666666667,5.39130434782609,2.60869565217391,5.45833333333333,2.54166666666667,3,4.08695652173913,2.26086956521739,5.73913043478261,4.85714285714286,3.14285714285714,3.55,2.34782608695652,3.65217391304348,3.95652173913043,4.58333333333333,3.41666666666667,5.16666666666667,5,3.54166666666667,4.41666666666667,3.75,3.70833333333333,3.95833333333333,25.4583333333333,38.25, , ,1,0,1,3.08,1,0,0,3.87922705314009,3.85960144927536,3.40993788819876,4.03019323671498,4.375,5.08876811594203
2,2,1,6.57575757575758,6.33333333333333,6.06060606060606,3.87878787878788,3.24137931034483,4.75862068965517,4.9,5.16666666666667,2.53571428571429,5.46428571428571,3.78571428571429,4.21428571428571,4.83870967741935,4.86206896551724,4.27586206896552,4.33333333333333,3.66666666666667,5.1,2.9,2.7037037037037,3.76923076923077,4.70967741935484,3.29032258064516,4.47826086956522,3.52173913043478,2.66666666666667,3.15151515151515,3.33333333333333,3.09090909090909,4.24242424242424,3.12121212121212,4.84848484848485,4.51515151515152,3.18181818181818,3.96969696969697,3.39393939393939,3.90909090909091,3.27272727272727,25.1515151515152,37.5625, , ,1,0,0,2.73,0,1,0,3.49494949494949,4.90483870967742,3.33155786778975,4.6588802373007,3.98181818181818,4.15823754789272
3,3,1,6.55555555555556,5.62962962962963,6.40740740740741,3.77777777777778,4.56,3.44,5.88888888888889,5.22222222222222,2.40909090909091,5.59090909090909,4.625,3.375,4.4,5.03846153846154,3.88,5.6,2.4,5.18518518518519,2.81481481481481,4.36,4.1304347826087,5.24,2.76,3.29411764705882,4.70588235294118,3.05882352941176,2.18518518518519,3,3.85185185185185,4.37037037037037,3,5.07407407407407,4.22222222222222,2.65384615384615,4,2.81481481481481,3.74074074074074,3.46153846153846,23.962962962963,38.4444444444444, , ,0,0,0,4.53,0,1,0,3.5707502374169,5.21259259259259,4.39877237851663,4.43948717948718,3.75299145299145,5.34962962962963
4,4,1,5.95652173913043,3.82608695652174,4.69565217391304,3.69565217391304,5.90909090909091,2.09090909090909,5.28571428571429,4.65217391304348,2.1875,5.8125,5.65217391304348,2.34782608695652,3.21739130434783,4.43478260869565,2.8695652173913,5.60869565217391,2.39130434782609,5.17391304347826,2.82608695652174,3.78947368421053,4.35294117647059,5.26086956521739,2.73913043478261,2.93333333333333,5.06666666666667,3.07142857142857,2.8695652173913,3.39130434782609,3.21739130434783,3.78260869565217,2.69565217391304,5,3.91304347826087,3.34782608695652,4.13636363636364,3.17391304347826,3.8695652173913,3.17391304347826,25.2727272727273,38.1739130434783, , ,0,1,0,2.53,0,1,0,3.35507246376811,5.21739130434782,4.4030271757826,3.50724637681159,3.91422924901186,5.60116694899304
5,5,1,5.96666666666667,5.66666666666667,5.7,4.03333333333333,4,4,5.3,4.6551724137931,2.89655172413793,5.10344827586207,4.51724137931035,3.48275862068966,4.56666666666667,4.7,4.07407407407407,4.86206896551724,3.13793103448276,5.03333333333333,2.96666666666667,3.85714285714286,4.4,5.53333333333333,2.46666666666667,4.4,3.6,3.20833333333333,2.2,3.43333333333333,3.73333333333333,4.56666666666667,3.03333333333333,4.93333333333333,4.4,3.31034482758621,3.9,3.2,3.5,3.73333333333333,22.9333333333333,40.6896551724138,31,172,1,0,0,3.63,0,1,0,3.66666666666666,5.28333333333333,3.95238095238095,4.44691358024691,3.94873563218391,4.72068965517241
6,6,1,6.57142857142857,6.10714285714286,6.07142857142857,4.60714285714286,4.53846153846154,3.46153846153846,5.66666666666667,5.08,2.04761904761905,5.95238095238095,4.53571428571429,3.46428571428571,4.25,5.17857142857143,4.33333333333333,5.40740740740741,2.59259259259259,5.35714285714286,2.64285714285714,4.44,4.69230769230769,5.44444444444444,2.55555555555556,2.73684210526316,5.26315789473684,3.3,2.75,3.25925925925926,3.67857142857143,4.78571428571429,3.89285714285714,5,4.67857142857143,3.28571428571429,4.32142857142857,3.25,3.89285714285714,3.67857142857143,23.4285714285714,37.5, , ,1,0,0,3.38,0,1,0,3.86463844797178,5.40079365079365,4.79848852901484,4.58730158730159,4.10714285714286,5.20417853751187
7,7,1,5.96428571428571,3.92857142857143,5.17857142857143,4.35714285714286,5.8,2.2,5.18518518518519,4.46153846153846,2.81481481481481,5.18518518518519,6.14814814814815,1.85185185185185,3.24,4.68,3.625,6,2,4.42307692307692,3.57692307692308,2.82608695652174,4.65,3.08333333333333,4.91666666666667,4.85714285714286,3.14285714285714,3.64705882352941,3.07142857142857,3.21428571428571,3.48148148148148,3.89285714285714,2.89285714285714,4.67857142857143,4.25,3,3.81481481481481,3.42857142857143,3.60714285714286,3.60714285714286,23.1428571428571,37.5714285714286,28.5714285714286,195.428571428571,1,1,1,3.23,1,0,0,3.44929453262787,3.75320512820513,3.53964803312629,3.84833333333333,3.83439153439153,5.66172839506173
8,8,1,6.83870967741936,5.2258064516129,6,4.45161290322581,4.74193548387097,3.25806451612903,5.48387096774194,5.25806451612903,2.44827586206897,5.55172413793103,4.48275862068965,3.51724137931034,3.90322580645161,5,3.53571428571429,5.51612903225806,2.48387096774194,4.12903225806452,3.87096774193548,4.57142857142857,3.91666666666667,3.61290322580645,4.38709677419355,2.78571428571429,5.21428571428571,3.875,3.29032258064516,3.16129032258065,3.90322580645161,4.2258064516129,3.67741935483871,4.74193548387097,4.16129032258065,2.80645161290323,3.7741935483871,3.06451612903226,4.25806451612903,4.06451612903226,23.8709677419355,36.4516129032258,24.8709677419355,182,1,0,1,3.13,0,1,0,3.88172043010753,3.87096774193548,4.56746031746032,4.1463133640553,3.70967741935484,5.24731182795699
9,9,1,6,5,5.95238095238095,3.76190476190476,4.63157894736842,3.36842105263158,5.5,4.76190476190476,2.66666666666667,5.33333333333333,4.90476190476191,3.0952380952381,4.28571428571429,5,3.77777777777778,5.21052631578947,2.78947368421053,5.95,2.05,5,4.42105263157895,5.61904761904762,2.38095238095238,3.15384615384615,4.84615384615385,3.76923076923077,2.14285714285714,3.80952380952381,3.55,4.45,3.66666666666667,5.4,5,3.57142857142857,4.3,3.55,4.05,3.45,23.75,31.45,23.3684210526316,155.210526315789,1,1,1,2.83,0,1,0,3.82936507936508,5.78452380952381,4.7557354925776,4.35449735449736,4.36428571428571,5.1140350877193
10,10,1,6.60714285714286,5.75,5.92857142857143,4.57142857142857,4.14814814814815,3.85185185185185,5.40740740740741,5.10714285714286,2.75,5.25,4.39285714285714,3.60714285714286,4.35714285714286,4.88461538461539,3.79166666666667,4.96153846153846,3.03846153846154,5.40740740740741,2.59259259259259,4.42307692307692,3.88888888888889,5.17857142857143,2.82142857142857,3.75,4.25,3.26315789473684,2.21428571428571,3.82142857142857,3.71428571428571,4.64285714285714,3.21428571428571,4.89285714285714,4.35714285714286,2.96428571428571,4.03571428571429,3.39285714285714,4.5,4.39285714285714,24,39.3571428571429,26.6785714285714,197.178571428571,1,1,0,2.73,0,1,0,4.04761904761904,5.29298941798942,4.18732193732194,4.34447496947497,3.92857142857143,4.83903133903134
11,11,1,6.58064516129032,4.35483870967742,6.03225806451613,4.48387096774194,5.09677419354839,2.90322580645161,5.54838709677419,4.74193548387097,1.96428571428571,6.03571428571429,4.32258064516129,3.67741935483871,3.48387096774194,4.96774193548387,3.39285714285714,5.51612903225806,2.48387096774194,5.06896551724138,2.93103448275862,4.33333333333333,4.07407407407407,5.06666666666667,2.93333333333333,2.68965517241379,5.31034482758621,3.22727272727273,2.29032258064516,3.2258064516129,3.90322580645161,4.25806451612903,3.41935483870968,4.93548387096774,4.58064516129032,3.19354838709677,4,3.06451612903226,4.25806451612903,4.19354838709677,24.0322580645161,41.3870967741936,29.0322580645161,216.290322580645,1,1,1,2.73,0,1,0,3.8763440860215,5.06781609195403,4.5725840783312,3.94815668202765,3.95483870967742,5.38709677419355
12,12,1,5.5,5.16666666666667,5.13333333333333,5.4,4.46666666666667,3.53333333333333,5.41379310344828,4.26666666666667,2.37931034482759,5.62068965517241,4.33333333333333,3.66666666666667,4.27586206896552,4.44827586206897,3.5,5.48148148148148,2.51851851851852,3.73333333333333,4.26666666666667,4.36,4.26086956521739,3.53333333333333,4.46666666666667,2.65217391304348,5.34782608695652,3.72727272727273,2.63333333333333,3.53333333333333,3.76666666666667,3.93333333333333,3.4,4.72413793103448,4.6551724137931,3.27586206896552,4.41379310344828,3.41379310344828,4.27586206896552,3.58620689655172,22.9666666666667,39.6,28.9666666666667,204.233333333333,1,1,1,2.63,0,1,0,3.74923371647509,3.63333333333333,4.65623188405797,4.07471264367816,4.09655172413793,5.12064708386548
13,1,2,6.78571428571429,6,6.57142857142857,4.78571428571429,4.30769230769231,3.69230769230769,6.30769230769231,5.35714285714286,1.92307692307692,6.07692307692308,4.84615384615385,3.15384615384615,4.92857142857143,5.15384615384615,4.76923076923077,5.07142857142857,2.92857142857143,5.28571428571429,2.71428571428571,5.63636363636364,6.23076923076923,5.42857142857143,2.57142857142857,2.42857142857143,5.57142857142857,3.5,2.35714285714286,2.71428571428571,4.14285714285714,4.14285714285714,2.64285714285714,5.07142857142857,3.92857142857143,3.07142857142857,3.69230769230769,3.21428571428571,3.28571428571429,3.5,24.2142857142857,38.5714285714286, , ,0,1,0,3.03,0,1,0,3.4047619047619,5.35714285714286,5.81285381285381,4.95054945054945,3.79560439560439,5.22893772893773
16,4,2,7.5,6.45,6.55,4,3.83333333333333,4.16666666666667,5.22222222222222,5.63157894736842,2.33333333333333,5.66666666666667,4.05882352941176,3.94117647058824,4.94736842105263,5.16666666666667,4.66666666666667,4.55555555555556,3.44444444444444,5.63157894736842,2.36842105263158,5.73684210526316,4.47058823529412,4.84210526315789,3.15789473684211,2.14285714285714,5.85714285714286,4.54545454545455,4,4.15,4.05,5,3.95,5.4,4.9,3.2,4.65,3.6,3.85,4.25,29.55,36.6842105263158, , ,1,0,0,2.53,0,1,0,4.20833333333333,5.23684210526316,5.35485773256671,4.92690058479532,4.35,4.53703703703704
19,7,2,7.27777777777778,6.94444444444444,6.77777777777778,5,3.23529411764706,4.76470588235294,5.11764705882353,5.64705882352941,1.8125,6.1875,3.8125,4.1875,5.47058823529412,5.4375,5.0625,4.17647058823529,3.82352941176471,5.47058823529412,2.52941176470588,5.8,5.0625,2.5,5.5,2.3125,5.6875,4.36363636363636,2.72222222222222,3.83333333333333,3.88888888888889,5.16666666666667,3.72222222222222,5.5,4.83333333333333,3.27777777777778,4.5,3.61111111111111,4.11111111111111,4.27777777777778,29.0555555555556,38.7222222222222,25.6666666666667,229.777777777778,1,1,0,3.48,1,0,0,4.16666666666667,3.98529411764706,5.51666666666667,5.32352941176471,4.34444444444444,4.17647058823529
21,9,2,5.86363636363636,4.5,6.18181818181818,3.09090909090909,4.63636363636364,3.36363636363636,4.36363636363636,5.04545454545455,3.3,4.7,4.95,3.05,4.27272727272727,4.90476190476191,3.47619047619048,5.27272727272727,2.72727272727273,5.57142857142857,2.42857142857143,5.83333333333333,3.4,5.55,2.45,3.2,4.8,3.35714285714286,3.54545454545455,3.5,4.40909090909091,4.45454545454545,3.86363636363636,4.81818181818182,4.86363636363636,2.81818181818182,3.95454545454545,2.5,3.77272727272727,4.31818181818182,29.8,34.8,25.85,147.45,1,0,0,4.08,0,1,0,4.0530303030303,5.56071428571429,4.67777777777778,4.21789321789322,3.79090909090909,4.75757575757576
23,11,2,6.65217391304348,7.56521739130435,6.69565217391304,4.34782608695652,3,5,4.71428571428571,4.95454545454545,2.76190476190476,5.23809523809524,3.72727272727273,4.27272727272727,5.8,5.40909090909091,5,3.90909090909091,4.09090909090909,5.72727272727273,2.27272727272727,4.25,3.9,3.68421052631579,4.31578947368421,4.58823529411765,3.41176470588235,4.15384615384615,3.69565217391304,4.34782608695652,4.47826086956522,5,3.60869565217391,5.39130434782609,5.17391304347826,3.78260869565217,5.21739130434783,4.26086956521739,4.82608695652174,4.52173913043478,42.7727272727273,36.3636363636364,23.1428571428571,200.571428571429,1,1,0,3.68,1,0,0,4.46376811594203,4.70574162679426,3.85392156862745,5.4030303030303,4.76521739130435,3.87445887445887
24,1,3,6.93103448275862,6.68965517241379,5.86206896551724,5.20689655172414,3.3448275862069,4.6551724137931,4.48275862068965,5.41379310344828,2.66666666666667,5.33333333333333,4.17241379310345,3.82758620689655,5.20689655172414,4.67857142857143,5,4.04166666666667,3.95833333333333,3.06896551724138,4.93103448275862,2.66666666666667,3.15384615384615,1.10714285714286,6.89285714285714,3.65,4.35,3.875,4,3.41379310344828,4.06896551724138,4.39285714285714,3.3448275862069,5.48275862068965,4.72413793103448,3.28571428571429,4.07142857142857,2.86206896551724,3.93103448275862,4.10344827586207,23.6206896551724,37.4137931034483,33,251,1,1,1,2.33,0,0,1,3.8758210180624,2.08805418719212,3.39017094017094,4.96182266009852,4.08522167487685,3.95641762452107
25,2,3,5.91666666666667,7.625,6.33333333333333,6,3.13636363636364,4.86363636363636,5.15,4.68181818181818,2.8,5.2,4.36363636363636,3.63636363636364,5.68181818181818,5.04545454545455,5.13636363636364,4.14285714285714,3.85714285714286,4.30434782608696,3.69565217391304,4.47368421052632,5.05555555555556,1.15,6.85,3.52380952380952,4.47619047619048,4.21052631578947,4.58333333333333,4.625,4.54166666666667,5.21739130434783,4.65217391304348,5.375,4.95833333333333,2.95833333333333,4.75,3.20833333333333,5.45833333333333,5.1304347826087,25.25,36.2608695652174,25,86,1,1,1,2.13,0,0,1,4.9375,2.72717391304348,4.66847674742412,5.28787878787879,4.25,4.14307359307359
