Kreis (r 12.5m),X,Y,Deckungsgrad Rubus sp. [%],DG Strauchschicht [%] (0.5-3m),DG Baumschicht [%] (ab 3m)
0,684825,237350,50,25,30
1,684825,237375,10,10,50
2,684800,237125,80,25,50
3,684800,237150,90,10,50
4,684800,237200,1,65,25
5,684750,237150,0,10,80
6,684750,237375,10,50,50
7,684725,237100,5,70,60
8,684725,237125,30,20,70
9,684725,237225,65,1,45
10,684600,237350,50,25,25
11,684600,237400,15,30,45
12,684575,237400,85,30,15
13,684550,237250,0,3,7
14,684550,237400,85,35,10
15,684450,237150,25,15,80
16,684450,237225,25,20,35
17,684450,237325,50,50,60
18,684450,237375,80,35,50
19,684425,237100,15,40,75
20,684625,237600,20,50,30
21,684575,237500,25,35,75
22,684575,237600,25,30,70
23,684550,237575,50,85,20
24,684525,237600,20,60,35